Pressure,Height,Temperature,Dew_Point,Relative_Humidity,Mixing_Ratio,Wind_Direction,Wind_Speed,THTA,THTE,THTV
1001,178,18.4,14.5,78,10.47,90,8,291.5,321.3,293.3
1000,181,17.8,13.5,76,9.81,105,13,290.9,318.9,292.7
997,207,17.6,13.2,75,9.65,112,12,291,318.5,292.7
992,250,17.2,13.1,77,9.64,125,10,291.1,318.6,292.8
973,414,15.9,12.7,82,9.58,115,21,291.3,318.7,293
952,600,14.3,12.3,88,9.53,125,27,291.6,318.8,293.2
942,690,13.6,12.1,91,9.5,131,30,291.7,318.9,293.4
933,771,13.8,12.8,94,10.05,136,32,292.7,321.5,294.5
925,844,13.6,12.7,94,10.07,140,34,293.2,322.1,295
919,899,13.8,13,95,10.31,145,36,293.9,323.6,295.8
918,908,13.8,13,95,10.35,147,36,294.1,323.9,295.9
905,1029,14.9,13.8,93,11.1,170,37,296.4,328.7,298.4
904,1038,15,13.9,93,11.16,170,37,296.6,329,298.6
898,1095,14.8,13.5,92,10.94,168,35,296.9,328.8,298.9
891,1161,15,13.6,91,11.1,166,34,297.8,330.3,299.8
887,1199,14.8,13.3,91,10.96,165,33,298,330,299.9
875,1314,14.1,12.5,90,10.54,165,30,298.4,329.3,300.3
870,1363,13.8,12.2,90,10.36,169,29,298.6,329.1,300.5
855,1510,13.1,11.2,89,9.88,180,26,299.3,328.5,301.1
850,1559,12.8,10.9,88,9.72,180,26,299.5,328.3,301.3
845,1609,12.5,10.3,86,9.37,175,27,299.7,327.4,301.4
835,1709,11.8,9,83,8.69,180,29,300,325.8,301.6
829,1769,11.4,8.2,81,8.29,180,29,300.2,324.9,301.7
825,1810,11.5,8.3,80,8.37,180,29,300.8,325.8,302.3
823,1830,11.6,8.3,80,8.41,180,28,301.1,326.2,302.6
814,1922,11.2,7,75,7.75,180,26,301.6,324.9,303
809,1974,11,6.2,72,7.4,182,26,301.9,324.2,303.2
804,2025,10.7,6.1,73,7.38,185,26,302.1,324.3,303.4
797,2098,10.2,5.9,75,7.34,185,28,302.3,324.5,303.6
785,2224,9.4,5.5,77,7.28,185,30,302.7,324.8,304.1
777,2310,8.8,5.3,79,7.24,185,26,303,325,304.4
776,2320,8.7,5.2,78,7.19,185,26,303.1,324.9,304.4
771,2374,8.4,4.6,77,6.94,185,27,303.3,324.4,304.5
767,2417,8.7,2,63,5.79,185,27,304.1,321.9,305.1
748,2625,10.4,-10.6,22,2.29,197,22,308.1,315.6,308.5
734,2782,10.2,-18.8,11,1.19,206,18,309.5,313.6,309.8
721,2931,9.6,-14.4,17,1.75,215,15,310.4,316.3,310.8
711,3046,8.9,-19.2,12,1.18,210,14,311,315,311.2
709,3070,8.8,-20.2,11,1.09,211,14,311.1,314.8,311.3
703,3140,8.3,-16.7,15,1.48,215,14,311.2,316.2,311.5
700,3175,8,-15,18,1.71,215,14,311.3,317.1,311.6
693,3258,7.3,-11.2,26,2.35,205,14,311.4,319.2,311.8
685,3353,6.4,-6.9,38,3.35,205,14,311.5,322.4,312.1
677,3450,5.5,-2.5,56,4.74,210,14,311.5,326.7,312.4
